Error procesando verso 4  Ellos mismos
Error procesando verso 14  Apolo que hiere de lejos
Error procesando verso 20  querida preciada?
Error procesando verso 31  el telar y el lecho
Error procesando verso 39  Cubrir un templo
Error procesando verso 40  Quemar muslos
Error procesando verso 50  Las mulas y los perros
Error procesando verso 54  Aquiles convoca al pueblo
Error procesando verso 58  Aquiles de pies ligeros
Error procesando verso 59  Ir errantes
Error procesando verso 63  Algún adivino o sacerdote o intérprete de sueños
Error procesando verso 64  Por qué se irritó Febo Apolo
Error procesando verso 65  Una hecatombe
Error procesando verso 67  Y aquel, habiendo hablado así, se sentó
Error procesando verso 82  la ira y el rencor
Error procesando verso 85  Atrévete a todo
Error procesando verso 93  él de un voto no se queja…
Error procesando verso 98  la doncella de ojos vivaces
Error procesando verso 114  esposa legítima
Error procesando verso 118  Prepáranme enseguida un botín
Error procesando verso 118  El botín
Error procesando verso 121  Aquiles de pies rápidos
Error procesando verso 132  aunque seas noble
Error procesando verso 132  me engañes con el pensamiento
Error procesando verso 133  acaso quieres…
Error procesando verso 137  y yo mismo lo agarro
Error procesando verso 138  Aquiles, Ayax y Odiseo
Error procesando verso 149  codicioso
Error procesando verso 150  Yo no vine a causa…
Error procesando verso 151  nunca se llevaron mis vacas ni mis caballos
Error procesando verso 152  Ftía
Error procesando verso 161  tú mismo
Error procesando verso 171  deshonrado, ganancia y riqueza
Error procesando verso 173  Adelante, huye
Error procesando verso 175  otros / que me honrarán
Error procesando verso 187  decirse igual y equipararse
Error procesando verso 189  El corazón / se debatía
Error procesando verso 225  Barriga de vino...
Error procesando verso 238  los que interpretan la justicia y preservan las leyes
Error procesando verso 244  el mejor de los aqueos
Error procesando verso 283  que grande…
Error procesando verso 292  Interrumpiendo
Error procesando verso 293  cobarde y pusilánime
Error procesando verso 316  arrojaron al mar
Error procesando verso 319  no / detuvo la discordia
Error procesando verso 383  las tropas / morían…
Error procesando verso 394  favoreciste ... al corazón de Zeus
Error procesando verso 402  el hecatonquiro
Error procesando verso 416  junto a las naves
Error procesando verso 416  para ti el destino es corto…
Error procesando verso 423  el Oceano
Error procesando verso 423  los etíopes
Error procesando verso 440  el altar
Error procesando verso 447  una sacra hecatombe…
Error procesando verso 452  ya una vez
Error procesando verso 461  una doble capa y trozos de carne
Error procesando verso 470  las crateras
Error procesando verso 473  cantando un peán
Error procesando verso 485  la nave negra arrastraron
Error procesando verso 500  se sentó y le tomó las rodillas
Error procesando verso 504  cúmpleme este deseo
Error procesando verso 505  el de vida más corta
Error procesando verso 512  se sentó en silencio largo rato
Error procesando verso 518  ruinosas acciones…
Error procesando verso 521  conmigo / riñe
Error procesando verso 521  yo socorro a los troyanos
Error procesando verso 533  Zeus fue
Error procesando verso 536  no / lo desconoció
Error procesando verso 561  ???????
Error procesando verso 587  y entonces no podré…
Error procesando verso 590  Pues ya otra vez a mí…
